"Assigned Product Information","Assigned Product Information"
Disapprove,Disapprove
"Are you sure you wan't to disapprove selected items?","Are you sure you wan't to disapprove selected items?"
Approve,Approve
"Are you sure you wan't to approve selected items?","Are you sure you wan't to approve selected items?"
"Assigned Product Id","Assigned Product Id"
"Product ID","Product ID"
"Seller Name","Seller Name"
"Marketplace Assigned Product","Marketplace Assigned Product"
"Marketplace Assigned Product List","Marketplace Assigned Product List"
"Marketplace Assign Product","Marketplace Assign Product"
